"scheme_name","source_sheet","unit_label","meter_label","linked_unit_label","meter_type","provisional_meter_key","prepaid","pq_factor","latest_reading_date","latest_reading"
"The Azores","The Azores","AZ 54","AZ 54","AZ 54","UNIT","AZ_54","","1,625","2026/03/03","68206"
"The Azores","The Azores","AZ 55","AZ 55","AZ 55","UNIT","AZ_55","","1,2406","2026/03/03","36953"
"The Azores","The Azores","AZ 56","AZ 56","AZ 56","UNIT","AZ_56","","1,625","2026/03/03","30809"
"The Azores","The Azores","AZ 57","AZ 57","AZ 57","UNIT","AZ_57","","1,2581","2026/03/03","29317"
"The Azores","The Azores","AZ 58","AZ 58","AZ 58","UNIT","AZ_58","","1,625","2026/03/03","35330"
"The Azores","The Azores","AZ 59","AZ 59","AZ 59","UNIT","AZ_59","","1,2581","2026/03/03","82322"
"The Azores","The Azores","AZ 60A","AZ 60A","AZ 60A","UNIT","AZ_60A","","1,625","2026/03/03","48845"
"The Azores","The Azores","AZ 61","AZ 61","AZ 61","UNIT","AZ_61","","1,2406","2026/03/03","10651"
"The Azores","The Azores","AZ 62","AZ 62","AZ 62","UNIT","AZ_62","","1,6425","2026/03/03","94746"
"The Azores","The Azores","AZ 63A","AZ 63A","AZ 63A","UNIT","AZ_63A","","1,2406","2026/03/03","47799"
"The Azores","The Azores","AZ 64","AZ 64","AZ 64","UNIT","AZ_64","","1,6425","2026/03/03","72937"
"The Azores","The Azores","AZ 65","AZ 65","AZ 65","UNIT","AZ_65","","1,2406","2026/03/03","55022"
"The Azores","The Azores","AZ 66","AZ 66","AZ 66","UNIT","AZ_66","","1,2406","2026/03/03","30122"
"The Azores","The Azores","AZ 67","AZ 67","AZ 67","UNIT","AZ_67","","1,2406","2026/03/03","48986"
"The Azores","The Azores","AZ 68","AZ 68","AZ 68","UNIT","AZ_68","","1,2406","2026/03/03","10368"
"The Azores","The Azores","AZ 69","AZ 69","AZ 69","UNIT","AZ_69","","1,2406","2026/03/03","50128"
"The Azores","The Azores","AZ 70","AZ 70","AZ 70","UNIT","AZ_70","","1,2406","2026/03/03","46791"
"The Azores","The Azores","AZ 71A","AZ 71A","AZ 71A","UNIT","AZ_71A","","1,2406","2026/03/03","20177"
"The Azores","The Azores","AZ 72A","AZ 72A","AZ 72A","UNIT","AZ_72A","","1,2406","2026/03/03","7874"
"The Azores","The Azores","Bulk 1","Bulk 1",,"BULK","Bulk_1","",,"2026/03/03","98060"
"Genesis","Genesis","GEN 01","GEN 01","GEN 01","UNIT","GEN_01","","1,025817296","02/03/2026","56699,3"
"Genesis","Genesis","GEN 02","GEN 02","GEN 02","UNIT","GEN_02","","1,045487238","02/03/2026","57589,5"
"Genesis","Genesis","GEN 03","GEN 03","GEN 03","UNIT","GEN_03","","1,085025809","02/03/2026","48947,5"
"Genesis","Genesis","GEN 04","GEN 04","GEN 04","UNIT","GEN_04","","1,045487238","02/03/2026","59724,4"
"Genesis","Genesis","GEN 05","GEN 05","GEN 05","UNIT","GEN_05","","0,986278725","02/03/2026","65984,3"
