scheme_name,source_sheet,legacy_label,meter_type,reading_label,reading_date_note,reading_value,previous_reading_value,consumption
Akasia,Akasia,AK 03 / FL 14,UNIT,2024-05-21 00:00:00,unparseable-date,41.42,36.71,4.710000000000001
Akasia,Akasia,AK 03 / FL 14,UNIT,2024-10-21 00:00:00,missing-date,0.0,22.18,999977.82
Akasia,Akasia,AK 04 / FL 13,UNIT,2024-05-21 00:00:00,unparseable-date,27.73,34.73,999993.0
Akasia,Akasia,AK 04 / FL 13,UNIT,2024-10-21 00:00:00,missing-date,0.0,44.74,999955.26
Akasia,Akasia,AK 05 / FL 12,UNIT,2024-05-21 00:00:00,unparseable-date,18.09,14.79,3.3000000000000007
Akasia,Akasia,AK 05 / FL 12,UNIT,2024-10-21 00:00:00,missing-date,0.0,18.3,999981.7
Akasia,Akasia,AK 06 / FL 11,UNIT,2024-05-21 00:00:00,unparseable-date,32.03,49.37,999982.66
Akasia,Akasia,AK 06 / FL 11,UNIT,2024-10-21 00:00:00,missing-date,0.0,26.2,999973.8
Akasia,Akasia,AK 07 / FL 116,UNIT,2024-05-21 00:00:00,unparseable-date,6.61,1.61,5.0
Akasia,Akasia,AK 07 / FL 116,UNIT,2024-10-21 00:00:00,missing-date,0.0,21.29,999978.71
Akasia,Akasia,AK 08 / FL 117,UNIT,2024-05-21 00:00:00,unparseable-date,0.0,0.0,0.0
Akasia,Akasia,AK 08 / FL 117,UNIT,2024-10-21 00:00:00,missing-date,0.0,26.18,999973.82
Akasia,Akasia,AK 09 / FL 118,UNIT,2024-05-21 00:00:00,unparseable-date,11.55,5.46,6.090000000000001
Akasia,Akasia,AK 09 / FL 118,UNIT,2024-10-21 00:00:00,missing-date,0.0,0.0,0.0
Akasia,Akasia,AK 10 / FL 119,UNIT,2024-05-21 00:00:00,unparseable-date,23.08,8.31,14.769999999999998
Akasia,Akasia,AK 10 / FL 119,UNIT,2024-10-21 00:00:00,missing-date,0.0,6.75,999993.25
Akasia,Akasia,AK 11 / FL 120,UNIT,2024-05-21 00:00:00,unparseable-date,0.0,0.0,0.0
Akasia,Akasia,AK 11 / FL 120,UNIT,2024-10-21 00:00:00,missing-date,0.0,2.17,999997.83
Akasia,Akasia,AK 12 / FL 112,UNIT,2024-05-21 00:00:00,unparseable-date,6.34,3.07,3.27
Akasia,Akasia,AK 12 / FL 112,UNIT,2024-10-21 00:00:00,missing-date,0.0,38.07,999961.93
Akasia,Akasia,AK 13 / FL 113,UNIT,2024-05-21 00:00:00,unparseable-date,44.61,36.41,8.200000000000003
Akasia,Akasia,AK 13 / FL 113,UNIT,2024-10-21 00:00:00,missing-date,0.0,9.17,990.83
Akasia,Akasia,AK 14 / FL 114,UNIT,2024-05-21 00:00:00,unparseable-date,10.31,8.82,1.4900000000000002
Akasia,Akasia,AK 14 / FL 114,UNIT,2024-10-21 00:00:00,missing-date,0.0,11.03,999988.97
Akasia,Akasia,AK 15 / FL 115,UNIT,2024-05-21 00:00:00,unparseable-date,0.0,0.0,0.0
Akasia,Akasia,AK 15 / FL 115,UNIT,2024-10-21 00:00:00,missing-date,0.0,0.0,0.0
Akasia,Akasia,AK 16 / FL 26,UNIT,2024-05-21 00:00:00,unparseable-date,55.98,50.71,5.269999999999996
Akasia,Akasia,AK 16 / FL 26,UNIT,2024-10-21 00:00:00,missing-date,0.0,19.69,999980.31
Akasia,Akasia,AK 17 / FL 25,UNIT,2024-05-21 00:00:00,unparseable-date,9.18,6.24,2.9399999999999995
Akasia,Akasia,AK 17 / FL 25,UNIT,2024-10-21 00:00:00,missing-date,0.0,10.11,999989.89
Akasia,Akasia,AK 18 / FL 24,UNIT,2024-05-21 00:00:00,unparseable-date,10.47,7.17,3.3000000000000007
Akasia,Akasia,AK 18 / FL 24,UNIT,2024-10-21 00:00:00,missing-date,0.0,30.37,999969.63
Akasia,Akasia,AK 19 / FL 23,UNIT,2024-05-21 00:00:00,unparseable-date,26.32,29.63,999996.69
Akasia,Akasia,AK 19 / FL 23,UNIT,2024-10-21 00:00:00,missing-date,0.0,11.14,999988.86
Akasia,Akasia,AK 20 / FL 22,UNIT,2024-05-21 00:00:00,unparseable-date,35.27,31.92,3.3500000000000014
Akasia,Akasia,AK 20 / FL 22,UNIT,2024-10-21 00:00:00,missing-date,0.0,26.02,999973.98
Akasia,Akasia,AK 21 / FL 21,UNIT,2024-05-21 00:00:00,unparseable-date,11.63,7.82,3.8100000000000005
Akasia,Akasia,AK 21 / FL 21,UNIT,2024-10-21 00:00:00,missing-date,0.0,15.6,999984.4
Akasia,Akasia,AK 22 / FL 216,UNIT,2024-05-21 00:00:00,unparseable-date,16.36,12.81,3.549999999999999
Akasia,Akasia,AK 22 / FL 216,UNIT,2024-10-21 00:00:00,missing-date,0.0,26.56,999973.44
Akasia,Akasia,AK 23 / FL 217,UNIT,2024-05-21 00:00:00,unparseable-date,4.22,8.36,999995.86
Akasia,Akasia,AK 23 / FL 217,UNIT,2024-10-21 00:00:00,missing-date,0.0,31.36,999968.64
Akasia,Akasia,AK 24 / FL 218,UNIT,2024-05-21 00:00:00,unparseable-date,88.45,92.12,999996.33
Akasia,Akasia,AK 24 / FL 218,UNIT,2024-10-21 00:00:00,missing-date,0.0,24.54,999975.46
Akasia,Akasia,AK 25 / FL 219,UNIT,2024-05-21 00:00:00,unparseable-date,44.91,39.45,5.459999999999994
Akasia,Akasia,AK 25 / FL 219,UNIT,2024-10-21 00:00:00,missing-date,0.0,0.0,0.0
Akasia,Akasia,AK 26 / FL 220,UNIT,2024-05-21 00:00:00,unparseable-date,35.12,37.59,999997.53
Akasia,Akasia,AK 26 / FL 220,UNIT,2024-10-21 00:00:00,missing-date,0.0,11.1,999988.9
Akasia,Akasia,AK 27 / FL 212,UNIT,2024-05-21 00:00:00,unparseable-date,103.34,99.68,3.6599999999999966
Akasia,Akasia,AK 27 / FL 212,UNIT,2024-10-21 00:00:00,missing-date,0.0,25.18,999974.82
Akasia,Akasia,AK 28 / FL 213,UNIT,2024-05-21 00:00:00,unparseable-date,74.24,94.24,999980.0
